0 117
1 96
2 103
3 112
4 102
5 98
6 98
7 96
8 89
9 98
10 101
11 95
12 108
13 99
14 98
15 85
16 84
17 105
18 105
19 106
20 110
21 87
22 107
23 107
24 95
25 97
26 71
27 88
28 111
29 89
30 87
31 94
32 106
33 90
34 123
35 91
36 85
37 107
38 107
39 91
40 98
41 88
42 96
43 104
44 111
45 107
46 97
47 96
48 88
49 95
50 113
51 106
52 115
53 98
54 102
55 102
56 115
57 95
58 98
59 107
60 105
61 92
62 123
63 93
64 96
65 77
66 84
67 105
68 102
69 108
70 109
71 100
72 107
73 92
74 90
75 114
76 89
77 96
78 103
79 82
80 120
81 91
82 110
83 110
84 104
85 114
86 101
87 109
88 98
89 109
90 88
91 118
92 91
93 100
94 72
95 103
96 104
97 116
98 106
99 100
